#  0.1000   0.2800   0.0000    sfrf0 19   zfea1 18  =vg, vs, g0,sfrfile,nsfr,zfefile,nzfe
#  0.9627   1.1135  = y, yox 
#  t       sfr      zfe      dg       dstar    star    s        g        zmean    zfe*g    dgox     gox      zox      zmeanox
  0.0021   1.2080   0.2710   2.9926   1.2080   0.0025   0.0025   0.0062   0.2710   0.0017   0.9759   0.0020   0.6129   0.6129
  0.0042   1.2140   0.2874   2.6511   1.1718   0.0050   0.0050   0.0118   0.2792   0.0034   0.9185   0.0039   0.6265   0.6197
  0.0063   1.2190   0.2992   2.4591   1.1529   0.0074   0.0076   0.0169   0.2859   0.0051   0.8839   0.0058   0.6360   0.6252
  0.0083   1.2240   0.3090   2.3158   1.1381   0.0097   0.0101   0.0217   0.2917   0.0068   0.8575   0.0076   0.6438   0.6299
  0.0104   1.2290   0.3176   2.2021   1.1291   0.0121   0.0127   0.0263   0.2969   0.0085   0.8361   0.0093   0.6504   0.6340
  0.0125   1.2350   0.3253   2.1074   1.1240   0.0144   0.0153   0.0307   0.3017   0.0101   0.8185   0.0110   0.6563   0.6378
  0.0146   1.2400   0.3325   2.0243   1.1173   0.0168   0.0179   0.0349   0.3062   0.0117   0.8024   0.0127   0.6617   0.6412
  0.0167   1.2450   0.3391   1.9526   1.1152   0.0191   0.0204   0.0390   0.3103   0.0133   0.7884   0.0143   0.6666   0.6444
  0.0188   1.2500   0.3454   1.8874   1.1126   0.0214   0.0231   0.0429   0.3143   0.0149   0.7755   0.0160   0.6712   0.6475
  0.0208   1.2550   0.3513   1.8292   1.1068   0.0237   0.0257   0.0467   0.3181   0.0165   0.7640   0.0175   0.6755   0.6503
  0.0229   1.2600   0.3570   1.7756   1.1073   0.0260   0.0283   0.0504   0.3217   0.0181   0.7532   0.0191   0.6796   0.6530
  0.0250   1.2650   0.3624   1.7290   1.1057   0.0283   0.0309   0.0540   0.3252   0.0197   0.7437   0.0207   0.6834   0.6556
  0.0271   1.2690   0.3676   1.6831   1.1018   0.0306   0.0336   0.0575   0.3285   0.0213   0.7340   0.0222   0.6871   0.6581
  0.0292   1.2740   0.3726   1.6400   1.1004   0.0329   0.0362   0.0609   0.3317   0.0229   0.7253   0.0237   0.6906   0.6605
  0.0313   1.2790   0.3775   1.6007   1.1006   0.0352   0.0389   0.0643   0.3349   0.0244   0.7172   0.0252   0.6940   0.6628
  0.0333   1.2840   0.3822   1.5695   1.0987   0.0375   0.0416   0.0675   0.3379   0.0260   0.7105   0.0267   0.6972   0.6650
  0.0354   1.2880   0.3867   1.5322   1.0991   0.0398   0.0442   0.0707   0.3409   0.0275   0.7026   0.0281   0.7003   0.6671
  0.0375   1.2930   0.3912   1.4987   1.0987   0.0421   0.0469   0.0739   0.3438   0.0291   0.6956   0.0296   0.7033   0.6692
  0.0396   1.2970   0.3955   1.4712   1.0984   0.0443   0.0496   0.0769   0.3466   0.0306   0.6894   0.0310   0.7062   0.6712
  0.0417   1.3020   0.3997   1.4431   1.0962   0.0466   0.0524   0.0799   0.3493   0.0321   0.6835   0.0324   0.7090   0.6732
  0.0438   1.3060   0.4038   1.4157   1.0964   0.0489   0.0551   0.0829   0.3520   0.0336   0.6774   0.0339   0.7117   0.6751
  0.0458   1.3100   0.4078   1.3854   1.0964   0.0512   0.0578   0.0858   0.3547   0.0351   0.6709   0.0353   0.7144   0.6769
  0.0479   1.3150   0.4118   1.3629   1.0972   0.0535   0.0605   0.0886   0.3572   0.0367   0.6659   0.0366   0.7170   0.6788
  0.0500   1.3190   0.4156   1.3412   1.0971   0.0558   0.0633   0.0914   0.3598   0.0382   0.6609   0.0380   0.7195   0.6805
  0.0521   1.3230   0.4194   1.3157   1.0968   0.0581   0.0660   0.0941   0.3623   0.0397   0.6553   0.0394   0.7219   0.6823
  0.0542   1.3270   0.4231   1.2969   1.0966   0.0603   0.0688   0.0968   0.3647   0.0411   0.6508   0.0407   0.7243   0.6839
  0.0563   1.3310   0.4267   1.2743   1.0962   0.0626   0.0716   0.0995   0.3671   0.0426   0.6458   0.0421   0.7266   0.6856
  0.0583   1.3350   0.4303   1.2525   1.0976   0.0649   0.0744   0.1021   0.3695   0.0441   0.6409   0.0434   0.7289   0.6872
  0.0604   1.3390   0.4338   1.2320   1.0977   0.0672   0.0772   0.1047   0.3718   0.0456   0.6363   0.0447   0.7311   0.6888
  0.0625   1.3430   0.4373   1.2124   1.0975   0.0695   0.0800   0.1072   0.3741   0.0471   0.6318   0.0461   0.7333   0.6904
  0.0646   1.3470   0.4407   1.1998   1.0974   0.0718   0.0828   0.1097   0.3763   0.0485   0.6285   0.0474   0.7355   0.6919
  0.0667   1.3510   0.4440   1.1824   1.0971   0.0741   0.0856   0.1122   0.3786   0.0500   0.6245   0.0487   0.7375   0.6934
  0.0688   1.3540   0.4473   1.1586   1.0987   0.0763   0.0884   0.1146   0.3808   0.0514   0.6191   0.0500   0.7396   0.6949
  0.0708   1.3580   0.4506   1.1425   1.0980   0.0786   0.0912   0.1170   0.3829   0.0529   0.6153   0.0512   0.7416   0.6963
  0.0729   1.3620   0.4538   1.1274   1.0993   0.0809   0.0941   0.1193   0.3851   0.0543   0.6117   0.0525   0.7436   0.6977
  0.0750   1.3650   0.4570   1.1119   1.0980   0.0832   0.0969   0.1216   0.3872   0.0558   0.6077   0.0538   0.7455   0.6991
  0.0771   1.3690   0.4601   1.0983   1.0976   0.0855   0.0998   0.1239   0.3893   0.0572   0.6045   0.0550   0.7474   0.7005
  0.0792   1.3720   0.4632   1.0843   1.0991   0.0878   0.1026   0.1262   0.3913   0.0586   0.6008   0.0563   0.7493   0.7019
  0.0813   1.3750   0.4662   1.0711   1.0990   0.0901   0.1055   0.1284   0.3934   0.0601   0.5974   0.0575   0.7511   0.7032
  0.0833   1.3790   0.4692   1.0529   1.0986   0.0924   0.1084   0.1306   0.3954   0.0615   0.5934   0.0588   0.7529   0.7045
  0.0854   1.3820   0.4722   1.0406   1.0972   0.0947   0.1112   0.1328   0.3974   0.0629   0.5901   0.0600   0.7547   0.7058
  0.0875   1.3850   0.4751   1.0292   1.1008   0.0969   0.1141   0.1349   0.3993   0.0643   0.5870   0.0612   0.7565   0.7071
  0.0896   1.3880   0.4780   1.0114   1.0993   0.0992   0.1170   0.1370   0.4013   0.0657   0.5829   0.0624   0.7582   0.7084
  0.0917   1.3910   0.4809   1.0008   1.0979   0.1015   0.1199   0.1391   0.4032   0.0671   0.5799   0.0637   0.7599   0.7096
  0.0938   1.3940   0.4837   0.9910   1.0964   0.1038   0.1228   0.1412   0.4051   0.0685   0.5772   0.0649   0.7616   0.7109
  0.0958   1.3970   0.4865   0.9745   1.0995   0.1061   0.1257   0.1432   0.4070   0.0699   0.5733   0.0661   0.7632   0.7121
  0.0979   1.4000   0.4893   0.9583   1.0979   0.1084   0.1286   0.1452   0.4088   0.0712   0.5694   0.0672   0.7649   0.7133
  0.1000   1.4020   0.4921   0.9486   1.0971   0.1107   0.1316   0.1472   0.4107   0.0726   0.5664   0.0684   0.7665   0.7144
  0.1021   1.4050   0.4948   0.9405   1.0990   0.1130   0.1345   0.1491   0.4125   0.0740   0.5640   0.0696   0.7681   0.7156
  0.1042   1.4080   0.4975   0.9328   1.0975   0.1152   0.1374   0.1511   0.4143   0.0754   0.5617   0.0708   0.7697   0.7168
  0.1063   1.4100   0.5001   0.9175   1.0965   0.1175   0.1404   0.1530   0.4161   0.0767   0.5578   0.0719   0.7712   0.7179
  0.1083   1.4130   0.5028   0.9030   1.0955   0.1198   0.1433   0.1549   0.4179   0.0781   0.5543   0.0731   0.7727   0.7190
  0.1104   1.4150   0.5054   0.8955   1.0938   0.1221   0.1463   0.1567   0.4197   0.0794   0.5518   0.0742   0.7742   0.7201
  0.1125   1.4180   0.5080   0.8893   1.0959   0.1244   0.1492   0.1586   0.4214   0.0808   0.5499   0.0754   0.7757   0.7212
  0.1146   1.4200   0.5105   0.8753   1.0936   0.1267   0.1522   0.1604   0.4232   0.0821   0.5463   0.0765   0.7771   0.7223
  0.1167   1.4220   0.5131   0.8612   1.0914   0.1289   0.1551   0.1622   0.4249   0.0834   0.5426   0.0776   0.7786   0.7234
  0.1188   1.4240   0.5156   0.8552   1.0893   0.1312   0.1581   0.1640   0.4266   0.0848   0.5405   0.0788   0.7800   0.7245
  0.1208   1.4270   0.5181   0.8426   1.0881   0.1335   0.1611   0.1657   0.4283   0.0861   0.5374   0.0799   0.7815   0.7255
  0.1229   1.4290   0.5206   0.8294   1.0861   0.1357   0.1640   0.1675   0.4299   0.0874   0.5339   0.0810   0.7829   0.7266
  0.1250   1.4310   0.5231   0.8241   1.0840   0.1380   0.1670   0.1692   0.4316   0.0887   0.5319   0.0821   0.7843   0.7276
  0.1271   1.4330   0.5255   0.8194   1.0819   0.1402   0.1700   0.1709   0.4333   0.0900   0.5301   0.0832   0.7856   0.7286
  0.1292   1.4340   0.5279   0.8063   1.0788   0.1425   0.1730   0.1726   0.4349   0.0913   0.5264   0.0843   0.7870   0.7296
  0.1313   1.4360   0.5303   0.7941   1.0798   0.1447   0.1760   0.1742   0.4365   0.0926   0.5232   0.0854   0.7883   0.7306
  0.1333   1.4380   0.5327   0.7821   1.0788   0.1470   0.1790   0.1758   0.4381   0.0939   0.5200   0.0865   0.7896   0.7316
  0.1354   1.4400   0.5351   0.7782   1.0766   0.1492   0.1820   0.1775   0.4397   0.0952   0.5183   0.0876   0.7910   0.7326
  0.1375   1.4410   0.5374   0.7741   1.0748   0.1515   0.1850   0.1791   0.4413   0.0964   0.5164   0.0886   0.7922   0.7335
  0.1396   1.4430   0.5397   0.7629   1.0757   0.1537   0.1880   0.1807   0.4429   0.0977   0.5134   0.0897   0.7935   0.7345
  0.1417   1.4440   0.5420   0.7511   1.0736   0.1559   0.1910   0.1822   0.4444   0.0990   0.5101   0.0908   0.7948   0.7355
  0.1438   1.4460   0.5443   0.7402   1.0745   0.1582   0.1940   0.1838   0.4460   0.1002   0.5072   0.0918   0.7960   0.7364
  0.1458   1.4470   0.5466   0.7287   1.0725   0.1604   0.1970   0.1853   0.4475   0.1015   0.5038   0.0929   0.7973   0.7373
  0.1479   1.4480   0.5489   0.7255   1.0721   0.1626   0.2000   0.1868   0.4491   0.1027   0.5021   0.0939   0.7986   0.7383
  0.1500   1.4500   0.5511   0.7153   1.0694   0.1649   0.2031   0.1883   0.4506   0.1040   0.4994   0.0950   0.7998   0.7392
  0.1521   1.4510   0.5534   0.7042   1.0701   0.1671   0.2061   0.1898   0.4521   0.1052   0.4961   0.0960   0.8010   0.7401
  0.1542   1.4520   0.5556   0.7017   1.0695   0.1693   0.2091   0.1912   0.4536   0.1065   0.4946   0.0970   0.8022   0.7410
  0.1563   1.4530   0.5578   0.6912   1.0673   0.1716   0.2121   0.1927   0.4551   0.1077   0.4916   0.0981   0.8034   0.7419
  0.1583   1.4540   0.5600   0.6891   1.0666   0.1738   0.2152   0.1941   0.4565   0.1089   0.4901   0.0991   0.8046   0.7427
  0.1604   1.4550   0.5621   0.6792   1.0642   0.1760   0.2182   0.1955   0.4580   0.1101   0.4872   0.1001   0.8057   0.7436
  0.1625   1.4560   0.5643   0.6690   1.0635   0.1782   0.2212   0.1969   0.4595   0.1113   0.4842   0.1011   0.8069   0.7445
  0.1646   1.4570   0.5664   0.6593   1.0615   0.1804   0.2243   0.1983   0.4609   0.1125   0.4814   0.1021   0.8080   0.7454
  0.1667   1.4570   0.5686   0.6487   1.0614   0.1826   0.2273   0.1996   0.4624   0.1137   0.4780   0.1031   0.8092   0.7462
  0.1688   1.4580   0.5707   0.6476   1.0610   0.1848   0.2303   0.2010   0.4638   0.1149   0.4769   0.1041   0.8103   0.7470
  0.1708   1.4590   0.5728   0.6382   1.0587   0.1871   0.2334   0.2023   0.4652   0.1161   0.4741   0.1051   0.8114   0.7479
  0.1729   1.4590   0.5749   0.6367   1.0573   0.1893   0.2364   0.2036   0.4666   0.1173   0.4726   0.1061   0.8125   0.7487
  0.1750   1.4600   0.5769   0.6278   1.0580   0.1915   0.2395   0.2049   0.4680   0.1184   0.4700   0.1070   0.8136   0.7495
  0.1771   1.4600   0.5790   0.6095   1.0549   0.1937   0.2425   0.2062   0.4694   0.1196   0.4652   0.1080   0.8147   0.7504
  0.1792   1.4610   0.5811   0.6091   1.0548   0.1959   0.2455   0.2075   0.4708   0.1208   0.4642   0.1090   0.8158   0.7512
  0.1813   1.4610   0.5831   0.6084   1.0514   0.1980   0.2486   0.2088   0.4722   0.1219   0.4629   0.1099   0.8169   0.7520
  0.1833   1.4610   0.5851   0.5906   1.0521   0.2002   0.2516   0.2100   0.4735   0.1231   0.4583   0.1109   0.8179   0.7528
  0.1854   1.4610   0.5872   0.5813   1.0507   0.2024   0.2547   0.2112   0.4749   0.1242   0.4553   0.1118   0.8190   0.7536
  0.1875   1.4610   0.5892   0.5809   1.0475   0.2046   0.2577   0.2124   0.4762   0.1254   0.4541   0.1128   0.8201   0.7544
  0.1896   1.4620   0.5912   0.5814   1.0487   0.2068   0.2608   0.2136   0.4776   0.1265   0.4533   0.1137   0.8211   0.7551
  0.1917   1.4620   0.5931   0.5729   1.0475   0.2090   0.2638   0.2148   0.4789   0.1276   0.4506   0.1147   0.8221   0.7559
  0.1938   1.4620   0.5951   0.5555   1.0443   0.2111   0.2669   0.2160   0.4802   0.1287   0.4460   0.1156   0.8231   0.7567
  0.1958   1.4610   0.5971   0.5550   1.0436   0.2133   0.2699   0.2171   0.4816   0.1299   0.4446   0.1165   0.8242   0.7574
  0.1979   1.4610   0.5990   0.5468   1.0421   0.2155   0.2729   0.2183   0.4829   0.1310   0.4419   0.1175   0.8252   0.7582
  0.2000   1.4610   0.6010   0.5384   1.0422   0.2177   0.2760   0.2194   0.4842   0.1321   0.4392   0.1184   0.8262   0.7589
  0.2021   1.4610   0.6029   0.5391   1.0392   0.2198   0.2790   0.2205   0.4855   0.1332   0.4383   0.1193   0.8272   0.7597
  0.2042   1.4610   0.6048   0.5311   1.0397   0.2220   0.2821   0.2216   0.4868   0.1342   0.4357   0.1202   0.8281   0.7604
  0.2063   1.4600   0.6067   0.5227   1.0374   0.2242   0.2851   0.2227   0.4880   0.1353   0.4327   0.1211   0.8291   0.7612
  0.2083   1.4600   0.6086   0.5148   1.0343   0.2263   0.2882   0.2238   0.4893   0.1364   0.4301   0.1220   0.8301   0.7619
  0.2104   1.4590   0.6105   0.5065   1.0341   0.2285   0.2912   0.2248   0.4906   0.1375   0.4272   0.1229   0.8311   0.7626
  0.2125   1.4590   0.6124   0.4989   1.0327   0.2306   0.2942   0.2259   0.4918   0.1385   0.4247   0.1238   0.8320   0.7633
  0.2146   1.4580   0.6143   0.4996   1.0287   0.2328   0.2973   0.2269   0.4931   0.1396   0.4236   0.1246   0.8330   0.7640
  0.2167   1.4570   0.6161   0.4918   1.0283   0.2349   0.3003   0.2279   0.4943   0.1406   0.4209   0.1255   0.8339   0.7647
  0.2188   1.4570   0.6180   0.4844   1.0270   0.2370   0.3033   0.2289   0.4956   0.1417   0.4184   0.1264   0.8349   0.7654
  0.2208   1.4560   0.6198   0.4767   1.0261   0.2392   0.3064   0.2299   0.4968   0.1427   0.4156   0.1273   0.8358   0.7661
  0.2229   1.4550   0.6217   0.4689   1.0224   0.2413   0.3094   0.2309   0.4980   0.1438   0.4128   0.1281   0.8367   0.7668
  0.2250   1.4540   0.6235   0.4703   1.0220   0.2434   0.3124   0.2319   0.4992   0.1448   0.4120   0.1290   0.8377   0.7675
  0.2271   1.4530   0.6253   0.4628   1.0198   0.2456   0.3155   0.2329   0.5004   0.1458   0.4093   0.1298   0.8386   0.7682
  0.2292   1.4520   0.6271   0.4555   1.0158   0.2477   0.3185   0.2338   0.5016   0.1468   0.4067   0.1307   0.8395   0.7689
  0.2313   1.4510   0.6289   0.4482   1.0157   0.2498   0.3215   0.2347   0.5028   0.1478   0.4040   0.1315   0.8404   0.7695
  0.2333   1.4500   0.6307   0.4410   1.0136   0.2519   0.3245   0.2357   0.5040   0.1488   0.4014   0.1324   0.8413   0.7702
  0.2354   1.4490   0.6325   0.4338   1.0127   0.2540   0.3276   0.2366   0.5052   0.1498   0.3988   0.1332   0.8422   0.7709
  0.2375   1.4480   0.6343   0.4268   1.0089   0.2561   0.3306   0.2375   0.5064   0.1508   0.3962   0.1340   0.8431   0.7715
  0.2396   1.4470   0.6361   0.4287   1.0085   0.2582   0.3336   0.2383   0.5076   0.1518   0.3955   0.1348   0.8440   0.7722
  0.2417   1.4450   0.6378   0.4215   1.0057   0.2603   0.3366   0.2392   0.5087   0.1528   0.3928   0.1357   0.8448   0.7728
  0.2438   1.4440   0.6396   0.4146   1.0018   0.2624   0.3396   0.2401   0.5099   0.1538   0.3902   0.1365   0.8457   0.7735
  0.2458   1.4430   0.6413   0.4080   1.0014   0.2645   0.3426   0.2409   0.5110   0.1547   0.3878   0.1373   0.8465   0.7741
  0.2479   1.4410   0.6431   0.4008   1.0000   0.2666   0.3456   0.2418   0.5122   0.1557   0.3850   0.1381   0.8474   0.7748
  0.2500   1.4400   0.6448   0.4034   0.9978   0.2687   0.3486   0.2426   0.5133   0.1566   0.3845   0.1389   0.8483   0.7754
  0.2521   1.4380   0.6465   0.3965   0.9930   0.2707   0.3516   0.2434   0.5145   0.1576   0.3818   0.1397   0.8491   0.7760
  0.2542   1.4370   0.6482   0.3902   0.9930   0.2728   0.3546   0.2443   0.5156   0.1585   0.3794   0.1405   0.8499   0.7766
  0.2563   1.4350   0.6499   0.3834   0.9914   0.2749   0.3576   0.2451   0.5167   0.1595   0.3768   0.1412   0.8508   0.7773
  0.2583   1.4340   0.6516   0.3772   0.9894   0.2769   0.3606   0.2458   0.5178   0.1604   0.3744   0.1420   0.8516   0.7779
  0.2604   1.4320   0.6533   0.3706   0.9845   0.2790   0.3636   0.2466   0.5189   0.1613   0.3718   0.1428   0.8524   0.7785
  0.2625   1.4300   0.6550   0.3640   0.9832   0.2810   0.3665   0.2474   0.5201   0.1622   0.3692   0.1436   0.8533   0.7791
  0.2646   1.4280   0.6567   0.3575   0.9818   0.2831   0.3695   0.2481   0.5212   0.1631   0.3666   0.1443   0.8541   0.7797
  0.2667   1.4260   0.6584   0.3601   0.9758   0.2851   0.3725   0.2489   0.5222   0.1640   0.3660   0.1451   0.8549   0.7803
  0.2688   1.4250   0.6600   0.3544   0.9754   0.2871   0.3755   0.2496   0.5233   0.1649   0.3638   0.1459   0.8557   0.7809
