# clusterName       ra        dec       l         b         r50     nbstars pmra      pmdec     par     d05       d16       dmode     d84       d95       Rgc       distance_Kharchenko logt_Kharchenko rc_Kharchenko rt_Kharchenko FeH_Kharchenko	FeH_synth
  Alessi_12         310.875   23.871    67.488    -11.405   0.682   313    4.303     -4.639    1.816   541.0     541.4     542.0     542.6     543.0     8151.4    543.0         7.46          4.47          6.31          ""           	0.0829675
  Alessi_13         51.762    -35.821   237.532   -55.941   1.361   48     36.332    -4.709    9.584   103.9     104.0     104.0     104.1     104.1     8371.4    112.0         8.72          1.52          6.45          0.06         	0.0582175
  Alessi_15         100.767   1.672     210.49    -1.099    0.008   17     -0.182    0.469     0.093   5887.7    6537.8    8228.0    11114.2   13792.5   15983.5   2362.0        9.19          0.49          9.72          ""           	-0.35
  Alessi_17         113.853   -15.098   231.359   2.585     0.022   27     -1.526    1.557     0.264   3202.1    3283.7    3418.8    3562.3    3669.3    10807.1   4697.0        8.22          1.4           13.57         ""           	-0.21579875
  Alessi_18         114.295   -26.386   241.421   -2.555    0.019   27     -1.261    1.79      0.126   5931.3    6125.5    6456.7    6810.8    7073.5    12752.7   6287.0        9.01          3.28          13.96         ""           	-0.35
  Alessi_19         274.741   12.311    40.403    12.71     0.595   74     -1.005    -7.073    1.71    572.5     573.5     575.0     576.3     577.3     7921.2    550.0         7.9           2.21          4.85          ""           	0.1
  Alessi_1          13.343    49.536    123.255   -13.335   0.249   48     6.536     -6.245    1.39    699.1     701.4     704.8     708.3     710.5     8734.9    750.0         8.84          4.59          7.68          ""           	0.01732375
  Alessi_20         2.593     58.742    117.615   -3.705    0.235   124    8.195     -2.341    2.311   426.3     426.7     427.3     428.0     428.4     8546.0    470.0         7.575         1.25          3.77          ""           	0.038575
  Alessi_21         107.69    -9.363    223.457   -0.014    0.467   137    -5.475    2.602     1.72    570.1     570.8     571.8     572.9     573.6     8763.9    596.0         7.7           1.52          4.94          ""           	0.01406125
  Alessi_2          71.602    55.199    152.333   6.365     0.554   177    -0.904    -1.046    1.589   616.3     617.0     618.2     619.3     620.1     8888.7    520.0         8.698         2.2           4.54          ""           	2.12499999999e-05
  Alessi_3          109.275   -46.142   257.449   -15.064   1.541   178    -9.875    11.958    3.566   277.9     278.0     278.1     278.3     278.4     8402.5    311.0         8.87          0.45          4.46          -0.275       	0.05471875
  Alessi_53         97.352    9.18      202.259   -0.664    0.022   39     0.431     -0.201    0.198   4101.2    4217.8    4406.0    4603.3    4755.7    12529.1   2394.0        7.0           0.52          9.05          ""           	-0.35
  Alessi_59         103.078   2.196     211.077   1.195     0.006   17     -0.54     0.283     0.227   3420.4    3601.6    3903.7    4266.1    4550.8    11855.1   3511.0        7.0           2.35          14.31         ""           	-0.33369875
  Alessi_5          160.819   -61.081   288.058   -1.966    0.542   302    -15.411   2.503     2.501   394.9     395.0     395.3     395.6     395.7     8226.1    384.0         7.765         0.65          3.76          -0.382       	0.07456375
  Alessi_60         105.619   -1.12     215.188   1.944     0.048   80     -0.83     -0.653    0.336   2680.1    2702.8    2737.0    2771.2    2795.9    10692.4   2610.0        8.64          0.56          8.74          ""           	-0.202895
  Alessi_62         284.026   21.597    52.816    8.685     0.256   145    0.245     -1.074    1.591   615.8     616.5     617.3     618.3     618.9     7986.0    546.0         8.95          0.87          4.01          ""           	0.1
  Alessi_6          220.058   -66.127   313.643   -5.544    0.294   176    -10.472   -5.559    1.1     882.3     883.6     885.5     887.1     888.4     7758.0    613.0         8.32          1.31          8.67          -0.154       	0.1
  Alessi_8          232.408   -51.227   326.501   4.259     0.224   55     -5.899    -5.729    1.479   659.5     660.9     663.1     665.1     666.5     7797.1    715.0         8.105         1.27          5.61          ""           	0.1
  Alessi_9          265.974   -47.028   344.269   -9.058    1.73    194    9.916     -9.157    4.822   205.9     206.0     206.1     206.3     206.4     8144.3    218.0         8.55          2.34          3.78          -0.58        	0.08376625
  Andrews_Lindsay_5 281.079   -4.931    27.733    -0.667    0.023   96     -0.901    -3.562    0.137   5508.9    5702.6    6014.6    6369.6    6627.8    4115.0    2289.0        6.0           1.6           9.13          ""           	0.1
  Antalova_2        262.462   -32.541   355.141   0.929     0.097   35     2.037     -1.65     0.842   1125.9    1134.8    1148.4    1162.4    1171.9    7196.5    1259.0        6.0           ""            ""            ""           	0.1
  Archinal_1        283.709   5.55      38.259    1.775     0.04    67     -0.225    -1.578    0.526   1743.5    1767.0    1802.1    1839.0    1864.1    7014.9    1453.0        8.0           0.69          3.15          ""           	0.1
  Arp_Madore_2      114.683   -33.845   248.123   -5.884    0.026   33     -0.513    1.225     0.039   11674.6   12644.4   14624.6   17332.1   19635.5   19277.0   13338.0       9.335         6.99          55.88         ""           	-0.35
  Auner_1           106.06    -19.748   231.992   -6.16     0.026   51     -0.28     1.015     0.093   7431.4    7723.0    8184.7    8695.0    9083.8    14810.6   7154.0        9.35          3.24          33.4          -0.5         	-0.35
  Aveni_Hunter_1    354.175   48.205    110.284   -12.823   0.496   82     -0.184    -2.087    2.348   419.2     419.8     420.6     421.5     422.1     8490.9    500.0         8.186         2.96          4.91          ""           	0.04477375
  BDSB30            333.667   61.433    105.298   4.05      0.024   33     -1.579    -3.005    1.109   868.3     872.4     878.5     884.7     888.8     8612.8    1490.0        6.55          0.2           3.17          ""           	0.03106
  BDSB91            96.319    -10.551   219.468   -10.554   0.036   32     -3.183    1.15      1.033   920.7     929.0     941.9     955.0     964.0     9073.9    1918.0        6.65          0.72          8.99          ""           	-0.02081375
  BDSB93            104.297   -8.202    220.888   -2.462    0.036   33     -2.41     1.021     0.77    1228.3    1237.4    1250.8    1264.7    1273.7    9320.7    2173.0        6.5           2.08          9.63          ""           	-0.04857875
  BDSB96            106.332   -12.327   225.477   -2.561    0.045   79     -3.843    1.071     0.844   1131.9    1137.1    1145.0    1152.9    1158.5    9178.4    1401.0        7.16          0.36          7.43          ""           	-0.03257
  BH_111            167.32    -63.834   291.956   -3.161    0.029   29     -8.176    2.941     0.339   2650.8    2674.1    2714.8    2753.6    2782.7    7745.9    2634.0        8.35          1.4           15.45         ""           	0.1
  BH_118            170.765   -58.549   291.604   2.366     0.023   68     -4.406    1.45      0.065   9502.7    9939.8    10650.2   11497.1   12125.5   10836.8   1221.0        9.045         1.08          4.53          ""           	-0.21914
  BH_121            174.661   -63.387   294.886   -1.658    0.154   223    -6.0      0.63      0.387   2387.7    2394.9    2405.0    2415.1    2422.3    7645.9    2937.0        6.64          2.92          14.97         ""           	0.1
  BH_132            186.72    -64.058   300.25    -1.315    0.046   65     -6.22     -0.177    0.362   2524.2    2537.0    2557.8    2578.6    2593.1    7389.7    1859.0        8.45          0.77          9.9           ""           	0.1
  BH_140            193.462   -67.18    303.166   -4.309    0.09    439    -14.827   1.221     0.162   5139.1    5178.2    5230.2    5282.3    5321.3    7011.8    5229.0        9.4           2.75          19.31         ""           	0.1
  BH_144            198.808   -65.92    305.359   -3.161    0.024   82     -5.111    -0.375    0.045   11648.2   12357.9   13493.3   14983.6   16119.0   11001.1   7241.0        9.0           0.83          12.88         -0.51        	-0.23762375
  BH_150            204.506   -63.346   308.128   -0.946    0.025   55     -6.395    -1.534    0.178   4614.7    4702.8    4837.7    4984.4    5084.1    6567.9    1537.0        7.5           1.04          5.5           ""           	0.1
  BH_151            205.051   -61.731   308.672   0.596     0.008   36     -5.853    -1.878    0.176   4651.4    4742.0    4881.2    5034.4    5138.9    6519.7    3572.0        6.6           1.57          4.87          ""           	0.1
  BH_164            222.311   -66.465   314.323   -6.235    0.639   209    -7.368    -10.714   2.364   417.1     417.5     417.9     418.3     418.6     8055.2    501.0         7.1           1.92          6.1           ""           	0.09379
